offer_id,job_title,level
0,"Data Engineer, Officer",specialist (Mid / Regular)
1,"Model Validation Quantitative Analyst, Officer",specialist (Mid / Regular)
2,Data Analyst w marce Mohito,"specjalista (Mid / Regular), mÅodszy specjalista (Junior)"
3,Senior SAP S/4HANA Functional Analyst (SD/PS),senior specialist (Senior)
4,Intelligent Automation Process Analyst,specialist (Mid / Regular)
5,2024 BNY Mellon Analyst Program - Operations,trainee
6,"Operational Risk Analyst, Assistant Vice President",specialist (Mid / Regular)
7,"Senior Risk Analyst, Officer",senior specialist (Senior)
8,Junior Data Analyst,junior specialist (Junior)
9,Senior Data Scientist,senior specialist (Senior)
10,"Corporate Audit, AVP â Full Stack Data Scientist",specialist (Mid / Regular)
11,Financial Planning and Analysis (FP&A) Business Analyst,specialist (Mid / Regular)
12,Global Learning & Development Systems & Data Analyst,specialist (Mid / Regular)
13,"Senior Investment Compliance Analyst, Associate 2",senior specialist (Senior)
14,Junior Procurement Analyst EMEA,"specialist (Mid / Regular), junior specialist (Junior)"
15,Software Engineer (Machine Learning - MLOps),specialist (Mid / Regular)
16,Full Time Analyst Program in SMB Ops 2024,trainee
17,Senior Data Scientist,senior specialist (Senior)
18,Data Analyst SAP,"specjalista (Mid / Regular), starszy specjalista (Senior)"
19,Analityk Data Mining,specjalista (Mid / Regular)
20,Payroll Analyst,specialist (Mid / Regular)
21,Data Engineer / IT Systems Integration Analyst,specjalista (Mid / Regular)
22,Analityk Kredytowy / Analityczka Kredytowa,specjalista (Mid / Regular)
23,Data Scientist,specialist (Mid / Regular)
24,"SG&A Europe Senior Financial Analyst, Healthcare",senior specialist (Senior)
25,Data Analyst,specialist (Mid / Regular)
26,Senior SAP S/4HANA Functional Analyst (SD/PS),senior specialist (Senior)
27,Specjalista ds. analizy danych logistycznych z j. niemieckim i angielskim,specjalista (Mid / Regular)
28,Counterparty Credit Risk Data Analyst,specialist (Mid / Regular)
29,Junior Financial Analyst,junior specialist (Junior)
30,Procurement Senior Data Analyst,senior specialist (Senior)
31,Senior Finance Analyst,senior specialist (Senior)
32,Data Scientist,specjalista (Mid / Regular)
33,Analyst to Counterparty Credit Risk Control (with SQL and Python),specialist (Mid / Regular)
34,Analityk Danych Finansowych,mÅodszy specjalista (Junior)
35,Margin Assurance Analyst,specialist (Mid / Regular)
36,Investment Portfolio Analytics Specialist / Modeller,specialist (Mid / Regular)
37,Data Scientist - staÅ¼,praktykant / staÅ¼ysta
38,Junior Data Scientist,entry level & blue collar
39,Starszy Analityk Business Intelligence,"specjalista (Mid / Regular), starszy specjalista (Senior)"
40,Data Engineer,specialist (Mid / Regular)
41,Lead Data Engineer,specialist (Mid / Regular)
42,Senior Data Engineer / Starszy Specjalista ds. Informacji Ryzyka Kredytowego,starszy specjalista (Senior)
43,Investment Portfolio Analytics Specialist,entry level & blue collar
44,Senior Data Engineer,"senior specialist (Senior), expert"
45,Treasury Data Analyst,specialist (Mid / Regular)
46,Payroll Analyst,"specialist (Mid / Regular), junior specialist (Junior)"
47,"Senior Investment Compliance Analyst, Associate 2",senior specialist (Senior)
48,"Senior Investment Performance Analyst, Associate 2",senior specialist (Senior)
49,Risk Analyst with French language,specialist (Mid / Regular)
50,Data Warehouse Specialist,"specialist (Mid / Regular), senior specialist (Senior)"
51,"Enterprise Technology Risk Analyst, Officer",specialist (Mid / Regular)
52,"Corporate Audit, AVP â Full Stack Data Scientist",specialist (Mid / Regular)
53,"Data Engineer, Officer",specialist (Mid / Regular)
54,Ekspert ds. Zapobiegania Oszustwom WewnÄtrznym,ekspert
55,Analityk Kredytowy w Departamencie Relacji Strategicznych,"specjalista (Mid / Regular), starszy specjalista (Senior)"
56,Data Analyst - SAC Developer,"specialist (Mid / Regular), senior specialist (Senior)"
57,Senior Data Engineer,senior specialist (Senior)
58,Technical Business Analyst,senior specialist (Senior)
